ean;sku;manufacturer;title;stock;price
4007140386731;101652P_RUK;Ruko;Pakopinis grąžtas RUKO UltimateCut Flowstep Ø8,0-30,0mm;4;160.54
088381581486;E-10883_MAK;Makita;221 dalies rankinių įrankių rinkinys MAKITA;4;349.52
3165140994910;06019J4003_bos;Bosch;Akumuliatorinis kampinis šlifuoklis BOSCH GWS 18V-10;4;235.2
3165140971423;06019J0200_bos;Bosch;Akumuliatorinis smūginis suktuvas/veržliasukis BOSCH GDX 18V-210C Solo;4;246.4
4058546361075;4933478825_MIL;Milwaukee;Akumuliatorinių įrankių rinkinys MILWAUKEE M12 FPP2AX-423P;4;555.37
3165140847322;06019F6000_bos;Bosch;Akumuliatorinis suktuvas-gręžtuvas BOSCH GSR 12V-15 FC su priedais;4;318.08
3165140953719;06019H8002_bos;Bosch;Akumuliatorinis suktuvas-gręžtuvas BOSCH GSR 12V-35 2x3,0Ah;4;263.2
3165140394475;0601824800_bos;Bosch;Kampinis šlifuoklis BOSCH GWS 1400;4;144.48
3165140952989;1600A016GP_bos;Bosch;Akumuliatorių ir įkroviklio komplektas BOSCH GBA ProCORE 18V 8,0Ah;4;475.17
4059952528106;0611911101_bos;Bosch;Akumuliatorinis perforatorius BOSCH GBH 18V-21;4;274.4
088381755382;AS001GZ_MAK;Makita;Akumuliatorinis pūstuvas MAKITA AS001GZ 40V MAX XGT;4;207.09
4030293153936;378461_FLE;FLEX;Akmens šlifavimo mašina FLEX PRCD LE 12-3 WET;4;590.64
088381760317;DHG180Z_MAK;Makita;Akumuliatorinė orapūtė MAKITA DHG180Z;4;139.24
088381738576;DTD157Z_MAK;Makita;Akumuliatorinis smūginis suktuvas MAKITA DTD157Z;4;149.73
4030839394656;741531-37_ELT;ELTEN;Moteriški batai ELTEN Hannah XXTL S1P ESD, juodi 37;4;113.76
4030839394670;741531-39_ELT;ELTEN;Moteriški batai ELTEN Hannah XXTL S1P ESD, juodi 39;4;113.76
4030839394687;741531-40_ELT;ELTEN;Moteriški batai ELTEN Hannah XXTL S1P ESD, juodi 40;4;113.76
4030839394694;741531-41_ELT;ELTEN;Moteriški batai ELTEN Hannah XXTL S1P ESD, juodi 41;4;113.76
7040057077153;78351_990-42_HH;Helly Hansen workwear;Batai HELLY HANSEN Kensington Low BOA S1P, juodi 42;4;145.69
7040057077177;78351_990-44_HH;Helly Hansen workwear;Batai HELLY HANSEN Kensington Low BOA S1P, juodi 44;4;145.69
7040057077184;78351_990-45_HH;Helly Hansen workwear;Batai HELLY HANSEN Kensington Low BOA S1P, juodi 45;4;145.69
7040057077191;78351_990-46_HH;Helly Hansen workwear;Batai HELLY HANSEN Kensington Low BOA S1P, juodi 46;4;145.69
7040057073421;77574_789-C50_HH;Helly Hansen workwear;Kelnės HELLY HANSEN  Kensington Service Pant, smėlio spalvos C50;4;128.78
7040057073445;77574_789-C52_HH;Helly Hansen workwear;Kelnės HELLY HANSEN  Kensington Service Pant, smėlio spalvos C52;4;128.78
7040057073476;77574_789-C54_HH;Helly Hansen workwear;Kelnės HELLY HANSEN  Kensington Service Pant, smėlio spalvos C54;4;128.78
7040057073490;77574_789-C56_HH;Helly Hansen workwear;Kelnės HELLY HANSEN  Kensington Service Pant, smėlio spalvos C56;4;128.78
7040057073513;77574_789-C58_HH;Helly Hansen workwear;Kelnės HELLY HANSEN  Kensington Service Pant, smėlio spalvos C58;4;128.78
7040057075814;77554_990-C46_HH;Helly Hansen workwear;Kelnės HELLY HANSEN Chelsea Evolution BRZ service, juodos C46;4;116.54
7040057075821;77554_990-C48_HH;Helly Hansen workwear;Kelnės HELLY HANSEN Chelsea Evolution BRZ service, juodos C48;4;116.54
7040057075838;77554_990-C50_HH;Helly Hansen workwear;Kelnės HELLY HANSEN Chelsea Evolution BRZ service, juodos C50;4;116.54
7040057075876;77554_990-C58_HH;Helly Hansen workwear;Kelnės HELLY HANSEN Chelsea Evolution BRZ service, juodos C58;4;116.54
